run_id,bucket_idx,bucket_start_ns,bucket_start_ms,messages,throughput_msgs_per_s
run_10x,0,0,0.0,276,276000000.0
run_10x,1,1000,0.001,279,279000000.0
run_10x,2,2000,0.002,280,280000000.0
run_10x,3,3000,0.003,255,255000000.0
run_10x,4,4000,0.004,325,325000000.0
run_10x,5,5000,0.005,257,257000000.0
run_10x,6,6000,0.006,288,288000000.0
run_10x,7,7000,0.007,233,233000000.0
run_10x,8,8000,0.008,311,311000000.0
run_10x,9,9000,0.009,285,285000000.0
run_10x,10,10000,0.01,296,296000000.0
run_10x,11,11000,0.011,320,320000000.0
run_10x,12,12000,0.012,323,323000000.0
run_10x,13,13000,0.013,309,309000000.0
run_10x,14,14000,0.014,289,289000000.0
run_10x,15,15000,0.015,305,305000000.0
run_10x,16,16000,0.016,289,289000000.0
run_10x,17,17000,0.017,276,276000000.0
run_10x,18,18000,0.018,267,267000000.0
run_10x,19,19000,0.019,298,298000000.0
run_10x,20,20000,0.02,276,276000000.0
run_10x,21,21000,0.021,281,281000000.0
run_10x,22,22000,0.022,284,284000000.0
run_10x,23,23000,0.023,287,287000000.0
run_10x,24,24000,0.024,277,277000000.0
run_10x,25,25000,0.025,250,250000000.0
run_10x,26,26000,0.026,276,276000000.0
run_10x,27,27000,0.027,275,275000000.0
run_10x,28,28000,0.028,275,275000000.0
run_10x,29,29000,0.029,288,288000000.0
run_10x,30,30000,0.03,281,281000000.0
run_10x,31,31000,0.031,279,279000000.0
run_10x,32,32000,0.032,305,305000000.0
run_10x,33,33000,0.033,285,285000000.0
run_10x,34,34000,0.034,253,253000000.0
run_10x,35,35000,0.035,297,297000000.0
run_10x,36,36000,0.036,274,274000000.0
run_10x,37,37000,0.037,253,253000000.0
run_10x,38,38000,0.038,303,303000000.0
run_10x,39,39000,0.039,275,275000000.0
run_10x,40,40000,0.04,287,287000000.0
run_10x,41,41000,0.041,272,272000000.0
run_10x,42,42000,0.042,274,274000000.0
run_10x,43,43000,0.043,311,311000000.0
run_10x,44,44000,0.044,309,309000000.0
run_10x,45,45000,0.045,304,304000000.0
run_10x,46,46000,0.046,295,295000000.0
run_10x,47,47000,0.047,256,256000000.0
run_10x,48,48000,0.048,304,304000000.0
run_10x,49,49000,0.049,310,310000000.0
run_10x,50,50000,0.05,243,243000000.0
run_10x,51,51000,0.051,274,274000000.0
run_10x,52,52000,0.052,307,307000000.0
run_10x,53,53000,0.053,279,279000000.0
run_10x,54,54000,0.054,292,292000000.0
run_10x,55,55000,0.055,282,282000000.0
run_10x,56,56000,0.056,276,276000000.0
run_10x,57,57000,0.057,261,261000000.0
run_10x,58,58000,0.058,275,275000000.0
run_10x,59,59000,0.059,269,269000000.0
run_10x,60,60000,0.06,250,250000000.0
run_10x,61,61000,0.061,286,286000000.0
run_10x,62,62000,0.062,295,295000000.0
run_10x,63,63000,0.063,274,274000000.0
run_10x,64,64000,0.064,309,309000000.0
run_10x,65,65000,0.065,300,300000000.0
run_10x,66,66000,0.066,298,298000000.0
run_10x,67,67000,0.067,271,271000000.0
run_10x,68,68000,0.068,281,281000000.0
run_10x,69,69000,0.069,271,271000000.0
run_10x,70,70000,0.07,307,307000000.0
run_10x,71,71000,0.071,281,281000000.0
run_10x,72,72000,0.072,279,279000000.0
run_10x,73,73000,0.073,272,272000000.0
run_10x,74,74000,0.074,314,314000000.0
run_10x,75,75000,0.075,279,279000000.0
run_10x,76,76000,0.076,305,305000000.0
run_10x,77,77000,0.077,278,278000000.0
run_10x,78,78000,0.078,298,298000000.0
run_10x,79,79000,0.079,277,277000000.0
run_10x,80,80000,0.08,310,310000000.0
run_10x,81,81000,0.081,351,351000000.0
run_10x,82,82000,0.082,288,288000000.0
run_10x,83,83000,0.083,234,234000000.0
run_10x,84,84000,0.084,284,284000000.0
run_10x,85,85000,0.085,257,257000000.0
run_10x,86,86000,0.086,284,284000000.0
run_10x,87,87000,0.087,294,294000000.0
run_10x,88,88000,0.088,295,295000000.0
run_10x,89,89000,0.089,269,269000000.0
run_10x,90,90000,0.09,267,267000000.0
run_10x,91,91000,0.091,276,276000000.0
run_10x,92,92000,0.092,305,305000000.0
run_10x,93,93000,0.093,266,266000000.0
run_10x,94,94000,0.094,284,284000000.0
