replicate,seed,event_count,converged,mu_hat,alpha_hat,beta_hat,log_likelihood,gradient_norm,branching_ratio,iterations
0,4242,206,1,0.6220118423,0.4793651122,1.207901259,-186.7662718,4.891129813e-05,0.3968578629,69
1,4243,206,1,0.7282461758,0.6577562456,2.2400889,-186.6818616,4.78976436e-05,0.2936295277,76
2,4244,242,1,0.8984174152,0.513492873,1.976046865,-187.651659,4.162616122e-05,0.2598586511,216
3,4245,218,1,0.635558707,0.7033708995,1.687011783,-178.262382,3.961702296e-05,0.4169330094,106
4,4246,205,1,0.6734174746,0.3380179021,0.9809422534,-192.2309489,3.9715584e-05,0.3445849141,83
5,4247,202,1,0.6949706257,0.361894798,1.152594646,-192.5768708,4.154135139e-05,0.3139827166,114
6,4248,224,1,0.7735663035,0.5877672889,1.900174816,-187.9992467,4.922251788e-05,0.3093227444,132
7,4249,228,1,0.54934576,0.5799797369,1.118959201,-163.2486358,4.854153916e-05,0.5183207186,83
8,4250,219,1,0.6881880525,0.3581815529,0.9577220739,-188.0416265,3.01118469e-05,0.3739932102,125
9,4251,203,1,0.6325842465,0.6630663902,1.75989279,-184.1765526,4.136701508e-05,0.3767652177,72
10,4252,218,1,0.7409886749,0.743735094,2.318957514,-186.3639792,3.147051381e-05,0.3207195861,79
11,4253,224,1,0.7774650174,0.4134044994,1.348785205,-190.1140644,4.468875606e-05,0.3065013597,112
12,4254,215,1,0.4449282691,0.1862637455,0.3158802351,-184.1123498,9.893707819e-05,0.5896657177,51
13,4255,214,1,0.8087621984,0.4375592118,1.788597122,-193.2719617,4.72176771e-05,0.2446382175,2
14,4256,226,1,0.8284352141,0.4151057722,1.547689302,-191.3437253,3.829685328e-05,0.2682100158,264
15,4257,237,1,0.7088851903,0.4853913143,1.207144902,-181.3166796,3.578995142e-05,0.4020986324,109
16,4258,183,1,0.5954911511,0.4591586039,1.298914664,-189.6469282,4.972251657e-05,0.3534940491,179
17,4259,203,1,0.6126800347,0.4101030135,1.027470607,-186.2304538,4.43176577e-05,0.3991384383,55
18,4260,231,1,0.8180068087,0.4391151823,1.505007919,-190.314678,4.525833713e-05,0.29176935,156
19,4261,241,1,0.6192370041,0.9634071589,1.968228195,-164.8401394,4.389446565e-05,0.4894794014,226
20,4262,204,1,0.6204463586,0.5921294652,1.506995063,-183.1336699,4.303475772e-05,0.3929206405,99
21,4263,229,1,0.6756321011,0.507984424,1.232575685,-182.6745131,3.149389923e-05,0.4121324396,96
22,4264,209,1,0.8599964785,0.6070759316,3.429091407,-193.8711771,4.548073085e-05,0.1770369639,225
23,4265,270,1,0.6117089784,0.6615797938,1.207007176,-155.6279099,4.976984373e-05,0.5481158744,108
24,4266,202,1,0.6775304199,0.2726290065,0.8260603027,-193.9684783,4.483593019e-05,0.3300352355,65
25,4267,204,1,0.6850880729,0.6644799491,2.00762034,-186.610483,3.932285037e-05,0.3309788887,89
26,4268,235,1,0.8372653193,0.502942001,1.74210213,-188.4849897,4.531957013e-05,0.2886983445,226
27,4269,215,1,0.7880778637,0.3562476514,1.333776321,-193.9156542,4.258845549e-05,0.2670969979,155
28,4270,231,1,0.634321965,0.7987748041,1.753499178,-172.1786514,4.376934646e-05,0.4555318954,85
29,4271,236,1,0.8217180991,0.2867873698,0.9364693962,-191.5573155,4.131329441e-05,0.3062431842,195
30,4272,185,1,0.6683311828,0.7279019359,2.611063499,-186.7769031,9.972603577e-05,0.2787760375,410
31,4273,215,1,0.619405746,0.6387945327,1.504933933,-179.8352061,4.525745727e-05,0.4244668278,84
32,4274,230,1,0.586843772,0.4299142077,0.8776331503,-180.2266846,4.58739312e-05,0.4898563911,173
33,4275,214,1,0.7341630647,0.7874826005,2.508974838,-185.7670628,4.545005587e-05,0.3138662806,94
34,4276,213,1,0.8093297952,0.9361014558,3.898291692,-188.3610221,3.916062204e-05,0.2401311984,112
35,4277,207,1,0.9187058164,1.412366123,12.56983517,-192.8856,7.900130141e-05,0.1123615468,25
36,4278,235,1,0.7584989962,0.3975928082,1.121594729,-188.7625013,4.919433398e-05,0.3544888345,191
37,4279,242,1,0.7791552886,0.5699609583,1.598850077,-181.2822442,4.623692378e-05,0.356481803,106
38,4280,200,1,0.7179841973,0.1880422062,0.6557989286,-196.9123368,4.157856416e-05,0.2867375928,135
39,4281,209,1,0.7380021574,0.3794481559,1.287583977,-191.3953194,4.604771349e-05,0.2946977926,86
40,4282,250,1,0.7027748883,0.3438368719,0.7844372717,-180.9190116,4.657197244e-05,0.4383229665,355
41,4283,210,1,0.5491143871,0.5687517739,1.191072417,-177.3393724,2.839597762e-05,0.4775123376,85
42,4284,219,1,0.6752540011,0.5267252394,1.373705021,-185.4611944,4.94071113e-05,0.3834340206,102
43,4285,214,1,0.6909150242,0.5535141102,1.556054476,-184.960953,3.814327521e-05,0.3557164088,66
44,4286,206,1,0.7049343987,0.7119783615,2.224571534,-186.0059784,3.270840268e-05,0.3200519069,67
45,4287,197,0,0.8116199386,0.2246621603,1.269822936,-197.5278322,0.1386584535,0.1769240056,400
46,4288,218,1,0.7996278132,0.2387345224,0.8949738415,-195.5911493,3.741818935e-05,0.2667502795,333
47,4289,231,1,0.7939178082,0.6650840797,2.127414611,-185.8351901,4.660762443e-05,0.312625511,114
48,4290,210,1,0.6309270813,0.4523271892,1.133149486,-186.782034,4.230781377e-05,0.3991769796,71
49,4291,234,1,0.7233940511,0.569127621,1.484529293,-182.9496967,4.642160082e-05,0.3833724426,130
50,4292,248,1,0.7438110318,0.8113739189,2.026655907,-170.9935386,4.973014003e-05,0.4003510987,128
51,4293,172,1,0.6580796278,0.3145343052,1.338381907,-192.8534285,4.656302633e-05,0.2350108766,286
52,4294,272,1,0.8247786443,0.4559370035,1.153329249,-176.632639,4.732703789e-05,0.3953225012,157
53,4295,234,1,0.8666688828,0.2978686365,1.137577699,-192.5907109,4.792069218e-05,0.2618446518,261
54,4296,262,1,0.7662139602,0.7110158291,1.711777596,-168.9133943,4.824538505e-05,0.4153669441,168
55,4297,196,1,0.6660510214,0.406169308,1.267685469,-192.3285048,2.009834518e-05,0.3204022747,38
56,4298,215,1,0.5881206113,0.3832449439,0.8394047547,-186.2341757,4.332944626e-05,0.4565675162,115
57,4299,208,1,0.6145512683,0.4703596157,1.149775251,-186.9555817,4.374210604e-05,0.4090883113,57
58,4300,230,1,0.6154137951,0.403353754,0.8527027153,-181.8187145,4.665936704e-05,0.4730297521,145
59,4301,211,1,0.7147826867,0.5139729554,1.589476287,-190.6607657,4.50809504e-05,0.3233599392,94
60,4302,242,1,0.6100218147,0.4988393046,1.006023782,-174.9698416,4.892228315e-05,0.495852398,177
61,4303,224,1,0.780859144,0.2388626834,0.7763270729,-193.7655124,4.765812451e-05,0.3076830523,345
62,4304,238,1,0.7256209814,0.3697263669,0.943863867,-185.7256866,4.411453146e-05,0.3917157757,131
63,4305,240,1,0.7268147277,0.4739420579,1.201542505,-180.9496871,4.240538882e-05,0.3944446874,99
64,4306,197,1,0.5877374597,0.3728868911,0.9245211231,-188.8696384,4.708647746e-05,0.4033297691,43
65,4307,199,1,0.5906647443,0.4489543673,1.101213963,-186.8115084,3.517410662e-05,0.4076904057,42
66,4308,218,1,0.6383018946,0.3602937885,0.8689181207,-187.3307796,3.207490177e-05,0.4146464206,101
67,4309,199,1,0.7004866379,0.524125419,1.770566796,-190.8170814,3.394792081e-05,0.296021263,70
68,4310,226,1,0.6650277153,0.3042623005,0.7322321881,-188.3198155,4.462774409e-05,0.4155270766,255
69,4311,229,1,0.7891834342,0.5278698787,1.691367921,-187.7563308,4.630846659e-05,0.3120964234,310
70,4312,220,1,0.5920486487,0.6392890648,1.382676731,-176.2288131,4.4284201e-05,0.4623561318,102
71,4313,246,1,0.7739455847,0.6675291245,1.800314769,-176.287147,3.638814401e-05,0.3707846738,162
72,4314,193,1,0.7222236555,0.5194559568,2.060208975,-192.0036616,4.835619318e-05,0.2521375079,107
73,4315,231,1,0.5943904586,0.4142487745,0.8500053634,-177.319265,3.985480804e-05,0.4873484243,169
74,4316,235,1,0.8338394915,0.5683837285,1.954042932,-186.5267171,4.728037382e-05,0.2908757629,130
