iteration,mu,alpha,beta
0,1.24,0.62,1
1,0.572620786,0.4045806595,1.627392707
2,0.7987616026,0.5085065539,1.334535393
3,0.7081679089,0.5209810979,1.417565962
4,0.7458990195,0.5574595045,1.372264135
5,0.7079707699,0.5707929203,1.440482326
6,0.7257985735,0.5937239095,1.428376635
7,0.6922351022,0.6196147201,1.547467728
8,0.720868368,0.6450292954,1.521119902
9,0.7049179209,0.6468685906,1.59061786
10,0.7213204685,0.6637348759,1.582383715
11,0.704886612,0.6748383355,1.690138292
12,0.7283393958,0.6956150105,1.665545213
13,0.7152468596,0.6955117275,1.72137279
14,0.7285869198,0.7089544497,1.712548581
15,0.7217594464,0.7121692664,1.753852792
16,0.737457716,0.7305908633,1.752448708
17,0.7260970243,0.7258874561,1.785386176
18,0.7357840814,0.7392429876,1.791570272
19,0.7292962144,0.7375763861,1.814389874
20,0.7414065143,0.7576762242,1.834456724
21,0.7311094691,0.7526068918,1.862340508
22,0.7394827407,0.7631072213,1.863695724
23,0.7336218574,0.7609386971,1.882336243
24,0.7387149105,0.7685386928,1.88761792
25,0.7322214931,0.7674271458,1.913411285
26,0.7385961236,0.7736535211,1.907575583
27,0.7351671119,0.7743056651,1.925860338
28,0.7388439106,0.7783861506,1.924290532
29,0.7353663365,0.7813142649,1.951567176
30,0.7405449408,0.786178228,1.945945556
31,0.7376464473,0.7862024363,1.959534108
32,0.7406152338,0.7893237946,1.9575445
33,0.7391141871,0.790078769,1.96741397
34,0.7425718862,0.7942694202,1.967185805
35,0.7401023973,0.7932310434,1.974792591
36,0.7421620444,0.7961817201,1.976374674
37,0.7408071709,0.7958520931,1.981472605
38,0.7433108977,0.800190835,1.986248796
39,0.741227399,0.7991798906,1.992193484
40,0.7428959882,0.8013698153,1.992706725
41,0.7417477029,0.8009723951,1.996596342
42,0.7427468456,0.8025425604,1.997888193
43,0.7415035053,0.8023959564,2.00319468
44,0.7427371846,0.8036418388,2.002139425
45,0.7420840963,0.8038229008,2.005912687
46,0.742797303,0.8046419639,2.005678385
47,0.7421415577,0.8052991449,2.011290846
48,0.7431421285,0.8062608241,2.010242836
49,0.7425871463,0.8062942482,2.012993472
50,0.7431624435,0.8069136906,2.012644231
51,0.7428767103,0.8070836294,2.014645335
52,0.7435466278,0.8079166461,2.014665305
53,0.7430732934,0.8077256051,2.016173134
54,0.7434704082,0.808311952,2.016538856
55,0.7432132784,0.8082576853,2.017547914
56,0.7436948517,0.8091203624,2.018571536
57,0.7433009574,0.8089353692,2.019728236
58,0.7436182247,0.8093643812,2.019869258
59,0.7434028188,0.8092957829,2.020626695
60,0.7435927477,0.8096044835,2.02090969
61,0.7433611155,0.8095884722,2.021945844
62,0.7435936321,0.8098281471,2.021762559
63,0.7434726103,0.8098719235,2.022503679
64,0.7436072772,0.8100303942,2.022472771
65,0.7434869559,0.8101704876,2.023579845
66,0.7436753549,0.8103546036,2.023392494
67,0.7435721722,0.8103670431,2.0239292
68,0.7436806829,0.8104862958,2.023871869
69,0.7436279242,0.8105234905,2.024264474
70,0.7437544944,0.8106847733,2.024282579
71,0.7436660396,0.8106510386,2.024572612
72,0.7437411805,0.8107651793,2.024653832
73,0.7436454626,0.8107485739,2.025044007
74,0.7437390045,0.8108412675,2.024955787
75,0.7436884066,0.8108503066,2.025230323
76,0.7437423588,0.8109106651,2.025205859
77,0.7436909628,0.810952458,2.025609749
78,0.7437668621,0.8110241132,2.025524511
