run_id,seed,aggressiveness,order_size,eta,gamma,total_cost,temporary_cost,permanent_cost,shortfall,mean_slippage,cost_variance,mean_aggressiveness,mean_intensity,trades
0,20240607,2.103036,1,0.012276,0.000003,1163.870018,57.367240,0.002777,1106.500000,0.497975,0.000896,2.103036,37.033333,2222
1,20240704,0.718320,4,0.014732,0.000003,3839.659978,79.622358,0.037620,3760.000000,0.499734,0.006378,0.718320,31.350000,1881
2,20240801,2.194855,1,0.015757,0.000003,1301.775458,84.522403,0.003055,1217.250000,0.498056,0.000840,2.194855,40.733333,2444
3,20240898,2.304774,6,0.018328,0.000003,7401.783644,582.180279,0.103365,6819.500000,0.494812,0.045940,2.304774,38.283333,2297
4,20240995,0.815138,1,0.018470,0.000003,1107.522524,32.519824,0.002700,1075.000000,0.497685,0.000978,0.815138,36.000000,2160
5,20241092,2.265294,1,0.014506,0.000003,1228.359886,76.106991,0.002895,1152.250000,0.497517,0.000938,2.265294,38.600000,2316
6,20241189,1.355005,3,0.015508,0.000003,3542.692061,143.166512,0.025549,3399.500000,0.498973,0.002853,1.355005,37.850000,2271
7,20241286,0.697938,6,0.016265,0.000003,6454.470913,143.376188,0.094725,6311.000000,0.499683,0.003084,0.697938,35.083333,2105
8,20241383,1.729826,6,0.015510,0.000003,7045.188280,360.587480,0.100800,6684.500000,0.497359,0.023744,1.729826,37.333333,2240
9,20241480,2.386884,2,0.016658,0.000003,2230.202282,164.691927,0.010355,2065.500000,0.498672,0.002287,2.386884,34.516667,2071
10,20241577,0.961065,2,0.014960,0.000003,1881.687222,52.678062,0.009160,1829.000000,0.499181,0.001635,0.961065,30.533333,1832
11,20241674,1.875325,1,0.015796,0.000003,1155.835510,65.082764,0.002746,1090.750000,0.496472,0.001154,1.875325,36.616667,2197
12,20241771,1.871188,3,0.014405,0.000003,2956.231592,151.460521,0.021071,2804.750000,0.499155,0.002563,1.871188,31.216667,1873
13,20241868,1.165857,3,0.016112,0.000003,4167.807172,151.027022,0.030150,4016.750000,0.499596,0.001374,1.165857,44.666667,2680
14,20241965,2.217973,3,0.018203,0.000003,3986.206581,298.678839,0.027743,3687.500000,0.498446,0.003983,2.217973,41.100000,2466
15,20242062,1.110155,4,0.016466,0.000003,4593.153757,162.109417,0.044340,4431.000000,0.499662,0.006764,1.110155,36.950000,2217
16,20242159,1.808658,3,0.015641,0.000003,3611.863439,193.587778,0.025661,3418.250000,0.499525,0.002108,1.808658,38.016667,2281
17,20242256,0.658216,6,0.015881,0.000003,5885.757472,120.670892,0.086580,5765.000000,0.499394,0.005704,0.658216,32.066667,1924
18,20242353,2.283264,4,0.013256,0.000003,4935.767250,281.720710,0.046540,4654.000000,0.500000,0.004297,2.283264,38.783333,2327
19,20242450,0.867164,1,0.014718,0.000003,930.864172,23.611859,0.002312,907.250000,0.490405,0.002712,0.867164,30.833333,1850
20,20242547,2.144475,2,0.015550,0.000003,1873.790801,117.781971,0.008830,1756.000000,0.497169,0.003649,2.144475,29.433333,1766
21,20242644,1.493367,3,0.016339,0.000003,3747.290129,174.513309,0.026820,3572.750000,0.499546,0.001545,1.493367,39.733333,2384
22,20242741,0.444494,4,0.012417,0.000003,5045.153251,55.103331,0.049920,4990.000000,0.499800,0.005608,0.444494,41.600000,2496
23,20242838,1.295221,1,0.012971,0.000003,1099.137682,35.885012,0.002670,1063.250000,0.497776,0.001078,1.295221,35.600000,2136
24,20242935,1.246394,3,0.017578,0.000003,2772.227399,117.457295,0.020104,2654.750000,0.495197,0.011299,1.246394,29.783333,1787
25,20243032,1.577149,5,0.016652,0.000003,5451.033517,272.218736,0.064781,5178.750000,0.499638,0.003765,1.577149,34.550000,2073
26,20243129,1.613988,4,0.015352,0.000003,4370.485491,206.443831,0.041660,4164.000000,0.499760,0.005760,1.613988,34.716667,2083
27,20243226,2.164177,6,0.014363,0.000003,6869.394930,402.297865,0.097065,6467.000000,0.499691,0.003010,2.164177,35.950000,2157
28,20243323,0.465083,2,0.015682,0.000003,1997.377746,28.867851,0.009895,1968.500000,0.497347,0.003635,0.465083,32.983333,1979
29,20243420,0.881224,5,0.014115,0.000003,5450.036608,132.470046,0.066562,5317.500000,0.499296,0.005856,0.881224,35.500000,2130
30,20243517,1.796446,1,0.012593,0.000003,1121.140343,48.887642,0.002701,1072.250000,0.496182,0.001345,1.796446,36.016667,2161
31,20243614,1.910434,4,0.014303,0.000003,3983.610097,206.572297,0.037800,3777.000000,0.499603,0.006876,1.910434,31.500000,1890
32,20243711,1.257655,5,0.012540,0.000003,5339.698256,163.383506,0.064750,5176.250000,0.499638,0.003767,1.257655,34.533333,2072
33,20243808,2.377664,1,0.011950,0.000003,927.690459,50.688229,0.002230,877.000000,0.491592,0.002522,2.377664,29.733333,1784
34,20243905,1.057331,3,0.013777,0.000003,3396.755664,96.230892,0.024773,3300.500000,0.499622,0.001418,1.057331,36.700000,2202
35,20244002,0.410519,6,0.015492,0.000003,8457.470945,106.345530,0.125415,8351.000000,0.499402,0.005549,0.410519,46.450000,2787
36,20244099,2.176134,3,0.016143,0.000003,3622.594895,238.069481,0.025414,3384.500000,0.499410,0.001878,2.176134,37.650000,2259
37,20244196,2.183075,2,0.018228,0.000003,2478.878033,183.366513,0.011520,2295.500000,0.498155,0.002482,2.183075,38.400000,2304
38,20244293,0.964497,5,0.012871,0.000003,5279.426077,128.111577,0.064500,5151.250000,0.499152,0.006795,0.964497,34.400000,2064
39,20244390,1.283931,6,0.016050,0.000003,6218.391142,246.301502,0.089640,5972.000000,0.499665,0.003259,1.283931,33.200000,1992
40,20244487,2.312550,1,0.015816,0.000003,997.252547,68.250214,0.002332,929.000000,0.497856,0.000866,2.312550,31.100000,1866
41,20244584,0.584183,2,0.017614,0.000003,2121.918266,42.907841,0.010425,2079.000000,0.498561,0.002150,0.584183,34.750000,2085
42,20244681,0.618654,2,0.013927,0.000003,1930.543897,33.034312,0.009585,1897.500000,0.494914,0.005765,0.618654,31.950000,1917
43,20244778,1.095857,5,0.011067,0.000003,5451.024570,129.707726,0.066844,5321.250000,0.497546,0.016650,1.095857,35.650000,2139
44,20244875,2.353645,4,0.017660,0.000003,4631.833794,355.790994,0.042800,4276.000000,0.499533,0.007473,2.353645,35.666667,2140
45,20244972,2.041418,2,0.015586,0.000003,2221.638273,133.127813,0.010460,2088.500000,0.499163,0.002029,2.041418,34.866667,2092
46,20245069,1.673261,2,0.012631,0.000003,2125.204137,86.693882,0.010255,2038.500000,0.496953,0.003985,1.673261,34.183333,2051
47,20245166,1.125280,1,0.012430,0.000003,1047.621255,28.618697,0.002557,1019.000000,0.498045,0.000790,1.125280,34.100000,2046
48,20245263,0.725920,3,0.014069,0.000003,3468.293288,69.517762,0.025526,3398.750000,0.499302,0.002117,0.725920,37.816667,2269
49,20245360,1.849498,6,0.013033,0.000003,8016.692150,369.077310,0.114840,7647.500000,0.499445,0.005181,1.849498,42.533333,2552
50,20245457,0.818792,4,0.013471,0.000003,4100.631478,88.591318,0.040160,4012.000000,0.499502,0.006968,0.818792,33.466667,2008
51,20245554,1.962899,6,0.013965,0.000003,5919.635705,309.051150,0.084555,5610.500000,0.497649,0.021222,1.962899,31.316667,1879
52,20245651,1.380667,4,0.017811,0.000003,4249.724945,199.684345,0.040600,4050.000000,0.498768,0.009828,1.380667,33.833333,2030
53,20245748,1.116937,3,0.016978,0.000003,3597.280647,131.754592,0.026055,3465.500000,0.498777,0.003765,1.116937,38.600000,2316
54,20245845,2.340564,1,0.014728,0.000003,999.051033,65.048674,0.002359,934.000000,0.494966,0.001631,2.340564,31.450000,1887
55,20245942,0.775413,6,0.014367,0.000003,5931.925294,129.338219,0.087075,5802.500000,0.499785,0.002195,0.775413,32.250000,1935
56,20246039,1.655643,2,0.013813,0.000003,2065.531671,91.021721,0.009950,1974.500000,0.496106,0.004839,1.655643,33.166667,1990
57,20246136,2.283245,6,0.012235,0.000003,6805.469434,360.872549,0.096885,6444.500000,0.498878,0.010289,2.283245,35.883333,2153
58,20246233,0.523585,3,0.012797,0.000003,4002.995562,52.965918,0.029644,3950.000000,0.499684,0.001185,0.523585,43.916667,2635
59,20246330,1.432004,1,0.011936,0.000003,1233.256173,41.003175,0.002999,1192.250000,0.496978,0.001163,1.432004,39.983333,2399
60,20246427,1.294614,4,0.011787,0.000003,4646.149832,139.104252,0.045580,4507.000000,0.494405,0.026265,1.294614,37.983333,2279
61,20246524,2.001136,6,0.016057,0.000003,5789.307103,349.725473,0.081630,5439.500000,0.499770,0.002341,2.001136,30.233333,1814
62,20246621,2.008652,4,0.012338,0.000003,4269.569133,202.528273,0.040860,4067.000000,0.497675,0.014108,2.008652,34.050000,2043
63,20246718,2.078976,3,0.012266,0.000003,2899.942319,140.921597,0.020723,2759.000000,0.499276,0.002913,2.078976,30.700000,1842
64,20246815,0.483277,3,0.016590,0.000003,3397.371261,54.095960,0.025301,3343.250000,0.495517,0.010463,0.483277,37.483333,2249
65,20246912,2.264516,1,0.016175,0.000003,1007.338980,69.336614,0.002366,938.000000,0.495510,0.001697,2.264516,31.550000,1893
66,20247009,1.417831,3,0.015470,0.000003,3857.560264,162.532477,0.027788,3695.000000,0.498650,0.003526,1.417831,41.166667,2470
67,20247106,1.059378,5,0.018088,0.000003,4825.948684,179.640090,0.058594,4646.250000,0.495600,0.028683,1.059378,31.250000,1875
68,20247203,2.146911,3,0.015850,0.000003,3391.595478,216.321639,0.023839,3175.250000,0.499489,0.002269,2.146911,35.316667,2119
69,20247300,1.379313,4,0.015747,0.000003,4442.006029,184.963449,0.042580,4257.000000,0.499883,0.005167,1.379313,35.483333,2129
70,20247397,1.897761,3,0.015371,0.000003,3740.309696,206.533146,0.026550,3533.750000,0.499117,0.002986,1.897761,39.333333,2360
71,20247494,1.508279,4,0.012178,0.000003,4472.510329,160.466649,0.043680,4312.000000,0.493590,0.029562,1.508279,36.400000,2184
72,20247591,1.424695,2,0.014506,0.000003,2050.725718,81.715833,0.009885,1969.000000,0.497977,0.003019,1.424695,32.950000,1977
73,20247688,1.603922,3,0.016370,0.000003,3696.457733,185.181284,0.026449,3511.250000,0.497838,0.005355,1.603922,39.183333,2351
74,20247785,1.650545,6,0.012419,0.000003,6735.880202,265.782957,0.097245,6470.000000,0.498997,0.009219,1.650545,36.016667,2161
75,20247882,0.600870,4,0.012122,0.000003,5134.993805,73.943045,0.050760,5061.000000,0.498522,0.010603,0.600870,42.300000,2538
76,20247979,0.549818,3,0.013682,0.000003,3413.509215,50.733925,0.025290,3362.750000,0.498628,0.003625,0.549818,37.466667,2248
77,20248076,0.702393,1,0.015580,0.000003,1298.147211,27.894024,0.003186,1270.250000,0.498333,0.000708,0.702393,42.483333,2549
78,20248173,1.375871,3,0.015872,0.000003,3118.404854,130.632422,0.022433,2987.750000,0.499457,0.002411,1.375871,33.233333,1994
79,20248270,1.269569,2,0.016509,0.000003,2190.793410,88.282880,0.010530,2102.500000,0.499169,0.002015,1.269569,35.100000,2106
80,20248367,0.577906,4,0.015657,0.000003,4553.046287,81.001527,0.044760,4472.000000,0.499553,0.006252,0.577906,37.300000,2238
81,20248464,1.134277,4,0.013078,0.000003,4417.673313,127.630293,0.043020,4290.000000,0.498605,0.010197,1.134277,35.850000,2151
82,20248561,2.272923,3,0.015563,0.000003,2933.490898,196.220096,0.020801,2737.250000,0.493465,0.015604,2.272923,30.816667,1849
83,20248658,0.598673,2,0.013471,0.000003,1985.607806,31.598011,0.009795,1954.000000,0.498724,0.002035,0.598673,32.650000,1959
84,20248755,1.581951,6,0.012901,0.000003,7288.529705,285.924630,0.105075,7002.500000,0.499822,0.001819,1.581951,38.916667,2335
85,20248852,1.948533,6,0.015285,0.000003,7205.398152,405.296092,0.102060,6800.000000,0.499706,0.002863,1.948533,37.800000,2268
86,20248949,1.170393,4,0.015180,0.000003,5257.492568,180.441788,0.050780,5077.000000,0.499902,0.004332,1.170393,42.316667,2539
87,20249046,0.752303,3,0.013432,0.000003,3159.934395,62.661141,0.023254,3097.250000,0.499476,0.002326,0.752303,34.450000,2067
88,20249143,0.856650,5,0.012974,0.000003,4630.858589,100.801902,0.056687,4530.000000,0.499449,0.005161,0.856650,30.233333,1814
89,20249240,1.110843,6,0.014296,0.000003,6553.403155,201.807845,0.095310,6351.500000,0.499803,0.002005,1.110843,35.300000,2118
90,20249337,0.854347,3,0.013560,0.000003,3070.921464,69.648919,0.022545,3001.250000,0.499210,0.002396,0.854347,33.400000,2004
91,20249434,1.570135,3,0.012588,0.000003,2740.500994,104.481171,0.019823,2636.000000,0.498676,0.003673,1.570135,29.366667,1762
92,20249531,1.559666,1,0.011363,0.000003,1281.468923,44.215804,0.003119,1237.250000,0.495892,0.001361,1.559666,41.583333,2495
93,20249628,2.200402,2,0.016110,0.000003,2519.046415,167.034635,0.011780,2352.000000,0.499151,0.001483,2.200402,39.266667,2356
94,20249725,2.312703,2,0.015093,0.000003,2629.322137,171.809832,0.012305,2457.500000,0.499289,0.001725,2.312703,41.016667,2461
95,20249822,1.213220,5,0.013421,0.000003,5091.091260,161.029447,0.061812,4930.000000,0.498483,0.011002,1.213220,32.966667,1978
96,20249919,2.185087,5,0.014386,0.000003,6011.220966,356.150154,0.070812,5655.000000,0.499117,0.006876,2.185087,37.766667,2266
97,20250016,1.771377,5,0.018011,0.000003,4915.174429,295.116616,0.057812,4620.000000,0.499459,0.005060,1.771377,30.833333,1850
98,20250113,2.210979,1,0.011350,0.000003,1069.047657,51.295102,0.002555,1017.750000,0.497921,0.000882,2.210979,34.066667,2044
99,20250210,0.846551,5,0.017976,0.000003,5680.494030,167.925062,0.068969,5512.500000,0.499547,0.004243,0.846551,36.783333,2207
