time,lambda_0,lambda_1
0.1127981971,17.39955378,5.024999529
0.1966105996,5.510169439,20.99966717
0.212218703,4.797439926,32.707868
0.2219320023,19.09723004,27.84574458
0.2279192699,17.28197216,41.26676801
0.2774981938,8.163457122,34.45074062
0.2825031397,7.677652111,47.6448532
0.2949878122,21.24949167,38.2517672
0.3020561858,33.4726338,33.89847596
0.389796562,8.082597779,25.99262217
0.3917253974,22.54406638,25.22907073
0.412160382,15.92984408,34.4403912
0.4681123185,7.076051515,30.61088243
0.4828128236,6.001637275,40.08538245
0.5402482379,3.802381541,32.11946287
0.5417246306,3.802542088,47.33014985
0.5500112989,3.670808526,56.86416288
0.557847681,3.566361359,65.33963938
0.5604959807,3.554707417,78.2264766
0.5654247865,3.50902458,87.35183229
0.5666058036,3.522169035,101.4292414
0.5673810178,3.541265652,115.9455481
0.5743644737,3.46745877,117.4824889
0.5756421656,3.48019312,130.644327
0.5811408844,3.433860024,133.5586643
0.5868368866,3.389889402,135.7159445
0.5914898807,17.9955664,124.1309302
0.6015747017,15.23944976,118.3696596
0.6089901444,13.54719506,118.7424268
0.6174095791,11.90289011,117.1142237
0.6246498196,10.69827389,117.9993509
0.6261899783,10.48793739,130.5714268
0.643756712,8.222533079,109.3687986
0.6569098123,6.984603795,101.2262229
0.6645784021,6.411657732,103.5429582
0.6659623164,6.342505483,116.8526289
0.6669206928,6.305226673,130.7289276
0.6703488563,6.099888503,138.3969559
0.6771960431,5.700539025,137.3238766
0.6986618792,19.32949478,91.16568102
0.7029309741,32.63529334,84.14460309
0.7046866512,46.26743769,81.44465466
0.7066782742,44.59873912,94.45922206
0.7085309271,57.73977775,91.23600592
0.7088131847,72.09395102,90.78161156
0.7126309606,81.65901002,84.50616451
0.7342503736,68.6173853,56.62505909
0.7369597521,79.80622447,53.932828
0.7439525244,69.77848323,63.54544919
0.7457032223,67.50286819,77.53074086
0.7476558823,79.68606274,74.78363131
0.7509344051,74.83345742,86.35422817
0.7514354372,74.14579528,101.5429532
0.7540168768,85.21634144,96.715818
0.7757180187,70.83852022,64.45138725
0.7946343496,64.0504104,45.75376775
0.8081809835,64.16227414,36.11122788
0.8393772374,35.68155615,37.66766273
0.8545677266,27.08099091,45.10711783
0.855879919,26.48158445,60.06802319
0.902489987,12.11535032,42.67576369
0.9132649652,10.32820339,51.3706452
0.9384954518,7.35082172,48.9933924
1.043003728,17.97028442,10.46626821
1.064252432,27.35969087,8.602750975
1.162433333,6.222907889,21.50035119
1.260268492,17.89237152,7.357748029
1.267533749,15.87376067,23.03799592
1.273569119,29.04368487,21.01734624
1.34798249,8.706315652,24.61135755
1.743734822,2.769125135,21.00101662
2.052074974,2.767014663,21.02743401
2.500649222,17.39955775,5.027035458
2.504254485,31.04324467,5.055815174
2.564092291,25.95331004,5.043703846
2.651439139,21.44653809,5.033677941
2.751168498,19.94552744,5.03040996
2.94604368,17.74878332,5.025740088
2.955943516,29.71583486,5.051107322
2.956811191,43.91547936,5.081207164
2.971187403,48.28922696,5.090478406
2.972831148,61.47981349,5.118439286
2.974948088,73.70838188,5.144360916
2.979416327,82.30487267,5.162583405
3.005391869,64.72817802,5.125324964
3.005757796,78.93994501,5.155450506
3.00643085,92.58483274,5.1843744
3.013984327,94.65070836,5.18875355
3.058063785,55.46377092,5.105686584
3.059674853,68.45568635,5.133226333
3.065634459,75.7350188,5.148656772
3.079749884,72.44399738,5.141680588
3.081285949,84.99883573,5.168293839
3.084502752,94.53681385,5.188512067
3.091048951,97.93520012,5.19571583
3.092297851,110.2505655,5.221821456
3.100080779,109.4162554,5.220052916
3.112277703,100.9875542,5.202186085
3.115945,108.7029221,5.218540817
3.119725892,115.6491867,5.233265234
3.121776113,125.7766812,5.254733096
3.147519895,90.9257284,5.180857418
3.1494422,102.2633214,5.204890401
3.152583712,110.8661833,5.223126408
3.164285615,102.9665944,5.20638117
3.168468349,109.5867544,5.220414324
3.187086357,91.03122391,5.181081041
3.199930974,85.69182037,5.169762783
3.205819015,91.13992109,5.181311452
3.205967225,105.5420673,5.211840554
3.206773909,118.5605354,5.239436589
3.207725196,131.0415193,5.265893286
3.214273852,129.9546797,5.263589446
3.21488943,143.0618239,5.291373453
3.21682443,152.3987504,5.311165501
3.218856923,161.1007686,5.329611696
3.220795495,169.7420386,5.34792912
3.227192774,164.3485971,5.336496315
3.227345305,178.5201339,5.36653658
3.22964531,185.2810023,5.380868002
3.23162171,192.8699067,5.396954662
3.232419509,204.5240121,5.421658574
3.238416956,196.3788257,5.40439273
3.238517167,210.654914,5.434654618
3.240311033,217.9913661,5.45020614
3.240622524,231.3183349,5.478456123
3.242307187,238.4087488,5.493486102
3.245276298,239.4851865,5.495767893
3.246929613,246.4485772,5.510528613
3.259961752,190.5613578,21.39193138
3.261995411,197.7389749,20.76943748
3.267951001,190.5055819,19.02906482
3.26872337,202.2911248,18.84500842
3.269278988,214.7496726,18.7230258
3.273053405,213.9980602,17.75587344
3.306947238,124.6561326,11.50416712
3.315965319,119.1991989,10.46085248
3.319215322,126.5336561,10.14788771
3.326209889,125.0359806,9.506134445
3.334179748,121.679779,8.872377196
3.356542538,78.8174192,23.47366418
3.360926212,87.09492379,21.95355673
3.365089405,80.3865236,36.59855905
3.372794814,83.96018956,32.11584525
3.452292187,19.33155897,26.52499897
3.549783355,5.128515276,24.05770834
