strategy,lambda,order_size,aggressiveness,latency_sensitivity,risk_cap,seed_count,realized_pnl,return_volatility,sharpe,max_drawdown,trade_count,fill_rate,avg_latency_ms,liquidity_pressure,inventory_volatility,inventory_turnover,market_price_volatility,market_mean_net_flow,market_net_flow_volatility
mean_reversion,0.05,2.0,0.5,0.4,20.0,2.0,-1437.012309502155,5.528635854068011,-3.682205871438409,1560.5618868369265,2183.0,0.6536857400846652,3.508918885593487,0.41848626204344974,15.311369560854772,0.8369725240868995,0.36215131612546947,-0.0010919586587911795,0.6418944442447254
mean_reversion,0.05,2.0,0.5,0.4,35.0,2.0,-1832.3030406476537,8.846284177697282,-2.930330500207105,2061.388849495902,2618.0,0.6648095400593816,3.5683175089240655,0.5132579143322633,24.315625330834628,1.0265158286645266,0.3628011498237674,0.003307453524682829,0.7140204739359783
mean_reversion,0.05,2.0,0.5,0.4,50.0,2.0,-1260.3724191295246,11.604588183718715,-1.5187177987418723,1909.8355376617674,2863.5,0.6748788283419032,3.534227120052962,0.5633943922338331,32.303718928983855,1.1267887844676663,0.35753086143021534,0.002132448959564431,0.7485050483446034
mean_reversion,0.05,2.0,0.5,0.8,20.0,2.0,-1247.6582349456207,5.487709249298125,-3.210077186051814,1421.1244861192315,1904.5,0.5476902397814429,3.40201902593439,0.3651779766295531,15.143727550605243,0.7303559532591062,0.36360466902135324,-0.0010246635103284176,0.5997229296902189
mean_reversion,0.05,2.0,0.5,0.8,35.0,2.0,-876.1186224490733,8.459576512155634,-1.4579122093808379,1226.983733050512,2383.5,0.5634868264352909,3.414604984717356,0.46597109929231034,23.47737955770176,0.9319421985846207,0.3596027413281932,0.0010686980665675703,0.6799459665322358
mean_reversion,0.05,2.0,0.5,0.8,50.0,2.0,-1912.334746089607,12.280058702319053,-2.2205209792260137,2297.2842771072746,2323.5,0.5497498021921239,3.4043945011899983,0.45738693286491683,34.536145386211714,0.9147738657298337,0.35937420107934714,-0.0030877325019530305,0.6745578050682324
mean_reversion,0.05,2.0,0.9,0.4,20.0,2.0,-1636.5271927674562,5.575391945004979,-4.1407486242654,1744.2190462046692,2200.0,0.6469661646482942,3.5481502763890393,0.7494520083556806,15.33508808578313,0.8327244537285052,0.3688098219311895,0.0018731897235015954,1.1505660326489915
mean_reversion,0.05,2.0,0.9,0.4,35.0,2.0,-2084.2634944553765,8.865812862529559,-3.2602862876321055,2274.980604195912,2680.0,0.6636048112815236,3.5391864430637514,0.9375118978766507,24.18270100740592,1.0416798865295616,0.37075303774947066,-0.0030850061156513743,1.2915044124049286
mean_reversion,0.05,2.0,0.9,0.4,50.0,2.0,-2900.588630219254,12.518499329074338,-3.247063846074365,3160.215443953713,2783.0,0.6710985995182015,3.5138223104858755,0.9845952208406394,34.1889978546355,1.0939946898228776,0.3673679015004846,0.004612750494586201,1.326879834646681
mean_reversion,0.05,2.0,0.9,0.8,20.0,2.0,-1310.5379987353213,5.415009062712751,-3.408424089501438,1420.0912191446043,2011.0,0.555128227112835,3.4139443366653923,0.6903998757526488,14.744537388623357,0.7671109730584766,0.36856283108074334,0.002794898285414323,1.1065160108694279
mean_reversion,0.05,2.0,0.9,0.8,35.0,2.0,-2089.9009618218797,8.810482859828682,-3.3429767781027966,2369.5762592892256,2238.5,0.5584888181699289,3.409067292701124,0.7886163416965094,24.394167737224016,0.8762403796627543,0.36314331975078196,0.001097846017745232,1.187165954790879
mean_reversion,0.05,2.0,0.9,0.8,50.0,2.0,-1727.4605591676423,11.586720402245694,-2.0668919137188935,2161.730646449734,2486.0,0.5672353281072038,3.39897215058379,0.879933195215101,31.646472674385052,0.9777035502389575,0.3709931275140076,0.001635918366001423,1.254487944990974
mean_reversion,0.05,2.0,1.3,0.4,20.0,2.0,-1944.3394570585024,5.623684129761816,-4.88721907657996,2014.2296200301382,2309.0,0.6604723546588136,3.5617816489091103,1.1378712722174424,15.000894100247162,0.8752855940133993,0.3830873555139125,0.0021779930040855674,1.7043393382754526
mean_reversion,0.05,2.0,1.3,0.4,35.0,2.0,-2378.068384594662,8.967976564996576,-3.7056654417040833,2522.592567121036,2657.0,0.666338378733512,3.5600676957421715,1.3424420049253647,23.992878137698323,1.032647696096395,0.3805849346938951,-0.0011644893777427573,1.858127055779664
mean_reversion,0.05,2.0,1.3,0.4,50.0,2.0,-3205.295786146936,12.542361646088963,-3.543818446741127,3400.480748368326,2819.5,0.6649075717885037,3.484895313868048,1.4383823567990484,33.054442626349505,1.1064479667684486,0.3851202769091252,0.010491198192485306,1.9270128590895128
mean_reversion,0.05,2.0,1.3,0.8,20.0,2.0,-1345.898577959067,5.3027359944671915,-3.5880716482849273,1406.8681301106594,2067.5,0.5474569842100216,3.4173862543952778,1.0175183124593141,14.49953498021615,0.7827063941994671,0.37477577913315796,0.0040719772375672845,1.6118148603560762
mean_reversion,0.05,2.0,1.3,0.8,35.0,2.0,-1771.8769868992563,8.604534134613296,-2.866509032079198,1942.7099387917856,2369.5,0.5603132269952329,3.425159751419061,1.1985380902992597,23.287613914768315,0.9219523771532521,0.37794637512834217,0.00031011651765857663,1.7557492098052103
mean_reversion,0.05,2.0,1.3,0.8,50.0,2.0,-2225.859314681811,11.731199954601099,-2.589634961034209,2632.75308630577,2508.5,0.5682439720006163,3.402260124526565,1.2810976105218121,31.184807792310824,0.9854597004013603,0.3853632871903989,-0.00027608881432311075,1.818861954531906
mean_reversion,0.05,4.0,0.5,0.4,20.0,2.0,-1456.1020160496646,5.738367616650623,-3.588938300363165,1569.3603115149283,1984.0,0.66057637245033,3.542742571175486,0.7067160122502261,15.90499063326417,1.4134320245004521,0.3693551162889581,0.001318254915111811,1.164426709979261
mean_reversion,0.05,4.0,0.5,0.4,35.0,2.0,-3741.9485661103126,10.116268837630615,-5.221952000458503,3922.671788204014,2005.5,0.6485434488864725,3.5644153122228026,0.7546018515159452,27.71671945290794,1.5092037030318903,0.3705595451358218,0.0,1.2145091380305622
mean_reversion,0.05,4.0,0.5,0.4,50.0,2.0,-3519.186438767526,13.46322860075578,-3.6976875471552058,3802.931728756905,2408.0,0.6571920465394008,3.541914281706922,0.9228127515752579,36.58397006811215,1.8456255031505158,0.372390378148977,-0.0008945184856576789,1.3490582720241293
mean_reversion,0.05,4.0,0.5,0.8,20.0,2.0,-1411.2267534262394,5.822857412077565,-3.427552178428251,1559.1374923341573,1702.5,0.5521612059262091,3.419396478808502,0.6114324605267618,15.907402396616499,1.2228649210535236,0.3695782548761465,0.00039999999999999996,1.0842976478407196
mean_reversion,0.05,4.0,0.5,0.8,35.0,2.0,-3139.0570077067987,9.931976389212736,-4.454723332216559,3324.619457065475,1780.0,0.5510862567620805,3.384600449399451,0.6708596469363215,27.251425713982478,1.341719293872643,0.3712864471874375,-0.0008,1.145687913050636
mean_reversion,0.05,4.0,0.5,0.8,50.0,2.0,-3211.728408191062,13.230865336967653,-3.401362383953167,3393.8434703405446,2067.0,0.5534015565616689,3.4372189651279133,0.7923549281887041,36.50615455662695,1.5847098563774082,0.3696938082707812,0.0046094979202335115,1.249413419359605
mean_reversion,0.05,4.0,0.9,0.4,20.0,2.0,-1578.265283454661,5.9248152301412365,-3.723998859926296,1701.598729533799,2061.5,0.6513063674878997,3.4975076238851033,1.3132302519055268,15.77024849467995,1.4591447243394398,0.39081052062017196,0.0022791546606213383,2.124425482425022
mean_reversion,0.05,4.0,0.9,0.4,35.0,2.0,-2573.4022479576483,9.906310257871768,-3.64867018020884,2881.600203665199,2367.5,0.66474068074003,3.534359777504199,1.6028000552172,25.860343450369513,1.7808889502412666,0.40128766161881524,-0.005320141203158725,2.3756521868224345
mean_reversion,0.05,4.0,0.9,0.4,50.0,2.0,-2593.758900500519,13.437826357247925,-2.695315402955506,3133.032320743103,2659.0,0.6555458564577361,3.5316078343225383,1.8290858427608585,34.37652910337339,2.0323176030675283,0.4090125137382179,0.0029645294770593755,2.5455390919513334
mean_reversion,0.05,4.0,0.9,0.8,20.0,2.0,-1301.4419135309336,5.790416093891357,-3.174090003222772,1480.7859114240946,1778.0,0.5574991763729139,3.413953689275216,1.1550125635353121,15.506890454312929,1.2833472928169931,0.39242562218653754,0.0010247767707336865,1.999930553332197
mean_reversion,0.05,4.0,0.9,0.8,35.0,2.0,-2858.814272509224,9.901955810807213,-4.080044668960758,2981.8675450566707,1955.0,0.5475387133828833,3.428329897809808,1.334773846607328,25.99444104343433,1.4830820517858812,0.3980259863530656,0.003600000000000006,2.172048285812555
mean_reversion,0.05,4.0,0.9,0.8,50.0,2.0,-4176.910928416199,13.732668116272782,-4.277284366175441,4332.610250631552,2072.0,0.5556776082002095,3.4183470013246824,1.4404241861104161,36.21135160017849,1.600471317900412,0.3952970539931228,0.006545586193846962,2.262729841160847
mean_reversion,0.05,4.0,1.3,0.4,20.0,2.0,-1071.5209238358152,6.021617519952827,-2.5104049877816794,1321.1591945772564,2269.5,0.6605285985361886,3.5385545609048137,2.1222308841606763,14.915562828612767,1.632485295508195,0.4434112096884956,0.0031769715666607147,3.2588434123738135
mean_reversion,0.05,4.0,1.3,0.4,35.0,2.0,-2294.832313778038,10.466510711043387,-3.098878144434331,2493.5673092773877,2474.0,0.6644858462513671,3.5181061542540326,2.426576501550815,25.10738479651034,1.8665973088851922,0.4551510178196523,-0.004027238545682952,3.5171635715479503
mean_reversion,0.05,4.0,1.3,0.4,50.0,2.0,-3646.7845761115295,14.966645609061654,-3.4324944382644182,3791.8016586667873,2615.5,0.6709530022099017,3.540465238477849,2.6169936478178597,34.973144220197725,2.0130720367828974,0.4640715368329193,0.0076457973641164585,3.661270051525677
mean_reversion,0.05,4.0,1.3,0.8,20.0,2.0,-1765.7840812238337,6.075451938135931,-4.082093204993459,1909.4190908046473,1765.0,0.5447398059608802,3.4052322750166146,1.650018348847987,15.487706089928551,1.2692448837292405,0.4213040851068196,0.0004776435434776889,2.8722837257725757
mean_reversion,0.05,4.0,1.3,0.8,35.0,2.0,-2268.3870238947893,10.396627984495417,-3.0326202502413357,2427.412393571167,2069.5,0.5506084442842829,3.410478316429473,2.041789002137033,25.432694172679962,1.5706069247207823,0.43863687182114675,-0.004748132926220528,3.225068020614846
mean_reversion,0.05,4.0,1.3,0.8,50.0,2.0,-2396.2371293618608,13.656088934001062,-2.4788590500336283,2886.0927488040143,2341.0,0.5553899262911727,3.435561488718653,2.336361818403162,33.15012336671397,1.7972013987716198,0.44898932662366475,-0.006194927650310665,3.4615272462773445
mean_reversion,0.05,6.0,0.5,0.4,20.0,2.0,-1047.7457973614082,6.007647328152073,-2.4523692285188656,1291.6373282954746,1861.5,0.6552710500991894,3.567014501851845,0.9181221079932639,16.299708480344435,1.8362442159865278,0.3796146059730575,0.0,1.5972488887263485
mean_reversion,0.05,6.0,0.5,0.4,35.0,2.0,-2364.042551793241,10.080963888548327,-3.3156622148946884,2705.138739310466,2121.0,0.6595125799845687,3.545394939042195,1.158069639736168,27.066692481926374,2.316139279472336,0.38479834841642213,-0.0035,1.8322222723085884
mean_reversion,0.05,6.0,0.5,0.4,50.0,2.0,-4385.782809648548,14.08155228264221,-4.405435154886609,4824.122548610263,2225.0,0.6606895736832963,3.560148778579795,1.250517750185407,37.58076264750888,2.501035500370814,0.3887437668872921,0.004487632349631906,1.9149957148955645
mean_reversion,0.05,6.0,0.5,0.8,20.0,2.0,-1161.406012663258,5.837161399304654,-2.797668701588049,1344.8468977499817,1609.0,0.5470651823889537,3.3952242643848454,0.8024638060568408,16.13673576857109,1.6049276121136815,0.3722901907178866,0.0008235499355227205,1.496548077956609
